qid,docno,text,rank
156493,m_1960255,"Rating Newest Oldest. Best Answer: Goldfish do not grow to the size of their tank, that is a myth. Goldfish grow until they are at their mature size, but being in a tank too small for them to grow properly can cause stunting. This is where the idea that they grow to the size of their tank comes from.",0
156493,m_8182159,"'Goldfish usually grow with their environment so if they are in a large space and are fed enough, they do sometimes just keep growing. 'If you went and checked the lakes and ponds across the country you could probably find a goldfish about Bob's size, but having one in a tank like this is most unusual and I have not heard of one.",1
156493,m_3288600,"A goldfish will grow to the depth of the water it is kept in. If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die. The fancy goldfish do not get as large as the common/comet/shubunkin/feeder goldfish.",2
1110199,m_4511137,"The choice of Bluetooth or WiFi is clear. Bluetooth is a universal standard and easy to use. But, its range is quite limited and sound quality is restricted. WiFi systems have a wider range and can offer excellent fidelity. But, different systems that use WiFi are incompatible, and setup may be difficult.",0
1110199,m_8160520,"Bluetooth vs. WiFi - Range: Maximum range for Bluetooth based wireless connections is 30m while for Wi-Fi, it can extend well upto 100m. In Wi-Fi, range depends on the version of Wi-Fi protocol applied and addition of antennas in the communication system while no such concerns of range or extra antenna are much known in Bluetooth. . Bluetooth vs. WiFi - Devices Connected: In Bluetooth, upto 7 devices can be connected to each other (piconet) while in Wi-Fi, the maximum connections depend on Wi-Fi router which can accommodate 1 to several communicating devices at a time.",1
1110199,m_8160519,"Bluetooth and WiFi are different standards for wireless communication. Bluetooth technology is useful when transferring information between two or more devices that are near each other when speed is not an issue, such as telephones, printers, modems and headsets.",2
1063750,m_7952971,"The U.S entered WW1 for several reasons. The U.S entered for two main reasons: one was that the Germans had declared unlimited German submarine warfare and the Zimmermann note.The German had totally disregarded the international laws protecting neutral nation's ships by sinking neutral ships.his note was the last straw, causing Wilson to join the war. The Zimmermann note and unlimited German submarine warfare were two of the biggest cause for the U.S to join the Allies and go to war with Germany. During the war Germany did...",0
1063750,m_4337526,The U.S entered WW1 for several reasons. The U.S entered for two main reasons: one was that the Germans had declared unlimited German submarine warfare and the Zimmermann note. The German had totally disregarded the international laws protecting neutral nation's ships by sinking neutral ships.,1
1063750,m_4337527,The U.S entered WW1 for several reasons. The U.S entered for two main reasons: one was that the Germans had declared unlimited German submarine warfare and the Zimmermann note.,2
130510,m_8612903,"Wiktionary (0.00 / 0 votes) Rate this definition: declaratory judgment (Noun). A ruling of a court in a civil case which declares the rights, duties, or obligations of each party in a dispute, but does not necessarily award any damages or other relief.",0
130510,m_8612910,"A declaratory judgment is one which simply declares the rights of the parties, or expresser, the opinion of the court on a. question of law, without ordering anything to be done.",1
130510,m_799647,"Declaratory judgments are judgment of a court in a civil case that declares the rights, duties, or obligations of each party in a dispute.",2
489204,m_8737051,"Causes of Pelvic Pain. Acute pelvic pain is pain that starts over a short period of time anywhere from a few minutes to a few days. This type of pain is often a warning sign that something is wrong and should be evaluated promptly. Pelvic pain can be caused by an infection or inflammation. An infection doesn't have to affect the reproductive organs to cause pelvic pain. Pain caused by the bladder, bowel, or appendix can produce pain in the pelvic region; diverticulitis, irritable bowel syndrome, kidney or bladder stones, as well as muscle spasms or strains are some examples of non-reproductive causes of pelvic or lower abdominal pain.",0
489204,m_1759354,Some causes of chronic pelvic pain include: 1 Endometriosis. This is a condition in which tissue from the lining of your womb (uterus) grows outside your uterus. 2 Tension in your pelvic floor muscles. Spasms or tension in the pelvic floor muscles can lead to recurring pelvic pain. 3 Chronic pelvic inflammatory disease.,1
