qid,docno,text,rank
156493,i_c_156493,"Rating Newest Oldest. Best Answer: Goldfish do not grow to the size of their tank, that is a myth. Goldfish grow until they are at their mature size, but being in a tank too small for them to grow properly can cause stunting. This is where the idea that they grow to the size of their tank comes from. 'Goldfish usually grow with their environment so if they are in a large space and are fed enough, they do sometimes just keep growing. 'If you went and checked the lakes and ponds across the country you could probably find a goldfish about Bob's size, but having one in a tank like this is most unusual and I have not heard of one. A goldfish will grow to the depth of the water it is kept in. If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die. The fancy goldfish do not get as large as the common/comet/shubunkin/feeder goldfish.",0
1110199,i_c_1110199,"The choice of Bluetooth or WiFi is clear. Bluetooth is a universal standard and easy to use. But, its range is quite limited and sound quality is restricted. WiFi systems have a wider range and can offer excellent fidelity. But, different systems that use WiFi are incompatible, and setup may be difficult. Bluetooth vs. WiFi - Range: Maximum range for Bluetooth based wireless connections is 30m while for Wi-Fi, it can extend well upto 100m. In Wi-Fi, range depends on the version of Wi-Fi protocol applied and addition of antennas in the communication system while no such concerns of range or extra antenna are much known in Bluetooth. . Bluetooth vs. WiFi - Devices Connected: In Bluetooth, upto 7 devices can be connected to each other (piconet) while in Wi-Fi, the maximum connections depend on Wi-Fi router which can accommodate 1 to several communicating devices at a time. Bluetooth and WiFi are different standards for wireless communication. Bluetooth technology is useful when transferring information between two or more devices that are near each other when speed is not an issue, such as telephones, printers, modems and headsets.",0
1063750,i_c_1063750,"The U.S entered WW1 for several reasons. The U.S entered for two main reasons: one was that the Germans had declared unlimited German submarine warfare and the Zimmermann note.The German had totally disregarded the international laws protecting neutral nation's ships by sinking neutral ships.his note was the last straw, causing Wilson to join the war. The Zimmermann note and unlimited German submarine warfare were two of the biggest cause for the U.S to join the Allies and go to war with Germany. During the war Germany did... The U.S entered WW1 for several reasons. The U.S entered for two main reasons: one was that the Germans had declared unlimited German submarine warfare and the Zimmermann note. The German had totally disregarded the international laws protecting neutral nation's ships by sinking neutral ships. The U.S entered WW1 for several reasons. The U.S entered for two main reasons: one was that the Germans had declared unlimited German submarine warfare and the Zimmermann note.",0
130510,i_c_130510,"Wiktionary (0.00 / 0 votes) Rate this definition: declaratory judgment (Noun). A ruling of a court in a civil case which declares the rights, duties, or obligations of each party in a dispute, but does not necessarily award any damages or other relief. A declaratory judgment is one which simply declares the rights of the parties, or expresser, the opinion of the court on a. question of law, without ordering anything to be done. Declaratory judgments are judgment of a court in a civil case that declares the rights, duties, or obligations of each party in a dispute. However, a declaratory judgment does not order any action or result in any award of damages to any party to the case.",0
489204,i_c_489204,"Causes of Pelvic Pain. Acute pelvic pain is pain that starts over a short period of time anywhere from a few minutes to a few days. This type of pain is often a warning sign that something is wrong and should be evaluated promptly. Pelvic pain can be caused by an infection or inflammation. An infection doesn't have to affect the reproductive organs to cause pelvic pain. Pain caused by the bladder, bowel, or appendix can produce pain in the pelvic region; diverticulitis, irritable bowel syndrome, kidney or bladder stones, as well as muscle spasms or strains are some examples of non-reproductive causes of pelvic or lower abdominal pain. Some causes of chronic pelvic pain include: 1  Endometriosis. This is a condition in which tissue from the lining of your womb (uterus) grows outside your uterus. 2  Tension in your pelvic floor muscles. Spasms or tension in the pelvic floor muscles can lead to recurring pelvic pain. 3  Chronic pelvic inflammatory disease. Although pelvic pain often refers to pain in the region of women's internal reproductive organs, pelvic pain can be present in men, too, and can stem from multiple causes. Pelvic pain may be a symptom of infection or may arise from pain in the pelvic bone or in non-reproductive internal organs, such as the bladder or colon. In women, however, pelvic pain can very well be an indication that there may be a problem with one of the reproductive organs in the pelvic area (uterus, ovaries, fallopian tubes, cervix, or vagina). What Causes Pelvic Pain? Possible causes of pelvic pain in both men and women may include: Appendicitis; Bladder disorders; Sexually transmitted diseases",0
573724,i_c_573724,"What are the social 'determinants' of health? The social determinants of health are the circumstances in which people are born, grow up, live, work and age, and the systems put in place to deal with illness. These circumstances are in turn shaped by a wider set of forces: economics, social policies, and politics. About social determinants of health The social determinants of health are the conditions in which people are born, grow, live, work and age. These circumstances are shaped by the distribution of money, power and resources at global, national and local levels. The social determinants of health are mostly responsible for health inequities - the unfair and avoidable differences in health status seen within and between countries. Key concepts Social determinants of health are economic and social conditions that influence the health of people and communities [1]. These conditions are shaped by the amount of money, power, and resources that people have, all of which are influenced by policy choices.Social determinants of health affect factors that are related to health outcomes.eterminants of health are factors that contribute to a person's current state of health. These factors may be biological, socioeconomic, psychosocial, behavioral, or social in nature. Scientists generally recognize five determinants of health of a population [2, 3]: 1  Genes and biology: for example, sex and age.",0
168216,i_c_168216,"Although several other species of the genus Legionella were subsequently identified, L pneumophila is the most frequent cause of human legionellosis and a relatively common cause of community-acquired and nosocomial pneumonia in adults. Legionnaires disease (LD) is the pneumonia caused by Legionella pneumophila. LD also refers to a more benign, self-limited, acute febrile illness known as Pontiac fever, which has been linked serologically to L pneumophila, although it presents without pneumonia. (See Pathophysiology and Etiology.) Background. Legionnaires disease (LD) is the pneumonia caused by Legionella pneumophila. LD also refers to a more benign, self-limited, acute febrile illness known as Pontiac fever, which has been linked serologically to L pneumophila, although it presents without pneumonia.",0
1133167,i_c_1133167,"It is always important to know what the weather in Jamaica will be like before you plan and take your vacation. For the most part, the average temperature in Jamaica is between 80 °F and 90 °F (27 °FCelsius-29 °Celsius). Luckily, the weather in Jamaica is always vacation friendly. You will hardly experience long periods of rain fall, and you will become accustomed to weeks upon weeks of sunny weather. You will find the mountainous area cooler than the lower lying land right throughout the year. It is always important to know what the weather in Jamaica will be like before you plan and take your vacation. For the most part, the average temperature in Jamaica is between 80 °F and 90 °F (27 °FCelsius-29 °Celsius). Luckily, the weather in Jamaica is always vacation friendly. You will hardly experience long periods of rain fall, and you will become accustomed to weeks upon weeks of sunny weather. Weather in Jamaica. The weather patterns you'll encounter in Jamaica can vary dramatically around the island. Photo credit: © Dennis Sabo | Dreamstime.com. Regardless of when you visit, the tropical climate and warm temperatures of Jamaica essentially guarantee beautiful weather during your vacation. Average temperatures in Jamaica range between 80 degrees Fahrenheit and 90 degrees Fahrenheit, with July and August being the hottest months and February the coolest.",0
527433,i_c_527433,"There are three major types of dysarthria in cerebral palsy: spastic, dyskinetic (athetosis) and ataxic. Speech impairments in spastic dysarthria involves four major abnormalities of voluntary movement: spasticity, weakness, limited range of motion and slowness of movement. Dysarthria is a motor speech disorder. It results from impaired movement of the muscles used for speech production, including the lips, tongue, vocal folds, and/or diaphragm.The type and severity of dysarthria depend on which area of the nervous system is affected.ysarthria is caused by damage to the brain. This may occur at birth, as in cerebral palsy or muscular dystrophy, or may occur later in life due to one of many different conditions that involve the nervous system, including. 1  stroke, The types of cerebral palsy are: 1  spastic: the most common type of cerebral palsy; reflexes are exaggerated and muscle movement is stiff. 2  dyskinetic: dyskinetic cerebral palsy is divided into two categories.ther Types of Cerebral Palsy. Symptoms of other types of cerebral palsy may also include floppy muscle tone and lack of muscle coordination. Tremors or an unsteady gait are also common.",0
1037798,i_c_1037798,"Robert Gray was the Democratic candidate for governor of Mississippi in the 2015 elections. Gray won the Democratic primary on August 4, 2015, and was defeated by incumbent Governor Phil Bryant (R) in the general election on November 3, 2015. Gray is a truck driver and former firefighter. He gained national attention for admitting that he did not vote in the August 4, 2015, primary, saying, I was in Jackson and had to do a lot of stuff and just lost track of time, to tell you the truth.. Gray made the following statement about his primary victory: Robert Gray. A surprise came on the Democratic side in the race for Mississippi Governor. Robert Gray, a retired firefighter and truck driver, is the democratic nominee who admitted to the Associated Press that he didn't even vote in Tuesday's election. I'm not a politician, said Gray in a Wednesday interview. I'm not a person who really wanted to run for Governor.. Robert Gray is 46-year-old truck driver. That schedule prevented him from campaigning, aside from a couple of small events. He also didn't fundraise at all. So with no money in the campaign bank, a man who admits he usually shies away from attention, clinched the nomination. It doesn't take a brain surgeon to do what needs to be done in the state of Mississippi, explained Gray. Gray wants to see more money brought into the state.",0
