qid,docno,text,rank
1030303,o_8726436,Share on LinkedInShare on FacebookShare on TwitterShare on Google+. 1 Public Profile Aziz Hashim Managing Partner at NRD Capital. 2 Public Profile Hazizul Aziz Mohamad Hashim Project Accountant/ Cost control. 3 Public Profile Aziz Hashim 4 --. Public Profile syed aziz syed hashim --.,0
1030303,o_8726433,"Romaniello calls Hashim a “terrific” leader at the IFA: “Aziz is very smart. He’s very balanced. He’s extraordinarily articulate, and as a result he’s able to be very effective in a leadership capacity.” His praise extends to Hashim’s chops as a restaurant operator.",1
1030303,o_8726435,"Mr. Aziz Hashim has been the President and Secretary of Frisch's Restaurants, Inc. since August 24, 2015. Mr. Hashim is the Founder and Managing Partner at NRD Capital Management, LLC. He serves as the Chief Executive Officer of NRD Partners I, L.P. He founded NRD Capital Management in 2014.",2
1037496,o_7766587,"Monday night, some Democrats were already raising questions about whether Scalise should remain in a leadership post. Rep. Steve Scalise (R-La.) says he won a three-way race for majority whip because his coalition was united, and says his election is a win for America..",0
1037496,o_4760912,"Steven Joseph Steve Scalise (b. October 6, 1965, in New Orleans, La.) is a Republican member of the U.S. House of Representatives representing Louisiana's 1st Congressional District. Scalise was first elected to the House in a 2008 special election to fill the vacancy caused by the resignation of Rep. Bobby Jindal.",1
1037496,o_3725936,"Scalise was born in New Orleans, one of three children of Alfred Joseph Scalise, a real estate broker who died on October 8, 2015 at the age of seventy-seven, and the former Carol Schilleci. His siblings are Glenn and Tara Scalise.",2
1043135,o_8696952,Answer by Aratherlongword. It is not sure if he was the one who killed Nicholas II but most historians agree that Yakov Yurovsky killed Nicholas II.,0
1043135,o_650642,"(1868-1918). Nicholas II was the last emperor, or tsar, of Russia, serving from 1894 to 1917. Nicholas, his wife, and their five children were killed by the Bolsheviks, members of a revolutionary group (led by Lenin) who seized control of the government in Russia during the October Revolution (see Russian Revolution) of 1917.",1
1043135,o_8696961,"How was tsar nicholas II of russia killed? Along with his family, Tsar Nicholas II was shot by firing squad in the year of 1918, in a house in Ekaterinburg. The Romanovs' bodies were buried near the location of t … heir death but have since been exhumed and venerated in the Peter-and-Paul Cathedral in St. Petersburg, Russia as martyred saints.",2
1051399,o_2845499,Incoming search terms: 1 who sings the real theme song. 2 the real theme song this is our time lyrics. 3 who sings the real theme song this is our time. 4 the real talk show theme song lyrics. 5 the real theme song.6 who sings the theme song for the real.ncoming search terms: 1 who sings the real theme song. 2 the real theme song this is our time lyrics. 3 who sings the real theme song this is our time. 4 the real talk show theme song lyrics. 5 the real theme song.,0
1051399,o_7848674,"Who Sings The Theme Song For The Show The OC Phantom Planet sing the song California the theme song for the show The OC. ! what is the artist and name of the song for the theme song of the tv show the oc The theme song to the show The O.C. is California by Phantom Planet. ! Who sings the oc theme song Phantom Planet sings the theme song for The OC, which is entitled, California.",1
1051399,o_2866972,"Related Who Sings Questions. What band sings the theme song for Smallvile The theme song for Smallville is called Save Me by the band Remy Zero. Who sings the smallville theme song somebody save me? Remy Zero sings Somebody Save Me, the theme song from Smallville. Would you like...",2
1064670,o_8680901,"You will also need to learn how to use the particular gun you have, particularly the shotgun. Do you know about patterning the shotgun? If you do, you probably wonder about why do hunters pattern their shotguns. While it does seem like a tedious task at first, it reaps a ton of benefits hunters love, which is what makes it an important thing to do.",0
1064670,o_8680905,"You now know what patterning a shotgun means, but why do hunters pattern their shotguns in the first place? When you shoot a shotgun while hunting, you want to make sure that you are familiarized with how it works, don't you?",1
1064670,o_8680903,"This is called “patterning your shotgun.” All shotgun hunters need to pattern their firearms to determine which brands of shells, shot sizes, and loads perform best and at what range. A shotgun may have a good pattern (high density of hits), but shoot off target. If this is the case, you will need to have the stock adjusted by a gunsmith. ← Previous",2
1071750,o_8698268,MLB can uphold Pete Rose ban -- but Hall of Fame doesn't have to. Buster Olney has a bold suggestion for the Hall of Fame to consider following news that MLB will uphold their ban of Pete Rose; plus Cueto reaction.,0
1071750,o_3928913,Pete Rose still banned from baseball after MLB rejects application for reinstatement. Pete Rose is still ineligible for the baseball Hall of Fame. Pete Rose is still ineligible for the baseball Hall of Fame. Baseball's all-time hit leader has struck out in what appears to be his final shot at the Hall of Fame. Pete Rose was denied reinstatement to Major League Baseball by Commissioner Rob Manfred on Monday. The Hall of Fame does not consider for induction any party on baseball's restricted list.,1
1071750,o_8698269,"6 Facts You May Not Know About Pete Rose and the Hall of Fame. 2015 marks the twenty-sixth year that Pete Rose has been banned from baseball — one of the sport’s greatest controversies, and in many respects, one of its most disappointing revelations.",2
1105792,o_8201618,Definition of the noun GEON. Games. Character. Miscellanea. Phrases with Geon. Printed dictionaries and other books with definitions for Geon. Online dictionaries and encyclopedias with entries for Geon. Photos about Geon.,0
1105792,o_8201611,"Geon may refer to: Geon (geology), a time interval; Geon (physics), a hypothetical gravitational wave packet; Geon (psychology), a geometrical primitive out of which everyday objects can be represented; Geon, short for geonim, rabbis in the medieval era; Geon, a character from the King of the Monsters series of video games",1
1105792,o_8201612,"Geon may refer to: Geon (geology), a time interval. Geon (physics), a hypothetical gravitational wave packet. Geon (psychology), a geometrical primitive out of which everyday objects can be represented. Geon, short for geonim, rabbis in the medieval era.",2
1106979,o_8190137,"The Pareto Chart Help in Statistics The Pareto Chart is based on The Pareto principles of Italian Economist Vilfredo Pareto in 19th centaury. The Pareto principles state that the most effects are the result of relatively of few causes that is, 80 % of effects come from 20 % of the possible causes.",0
1106979,o_8190140,"The Pareto Chart Help in Statistics. The Pareto Chart is based on The Pareto principles of Italian Economist Vilfredo Pareto in 19th centaury. The Pareto principles state that the most effects are the result of relatively of few causes that is, 80 % of effects come from 20 % of the possible causes.",1
1106979,o_8190134,"The Pareto Chart: The Pareto chart can also be known as, the Pareto diagram. There can be two types of Pareto Charts such as, a weighted Pareto chart or a comparative Pareto Chart. A Pareto chart is a special bar graph, where the lengths are represented by frequency or cost, time or money that are arranged with the longest bars on the left and the shortest to the right side.",2
1108651,o_8175412,"Bleach is also the best way to get white clothes white again, and helps remove stubborn, older stains. Choose Warm Water for Moderately Soiled, Synthetic Blend White Clothes Wash white clothes in warm water if they're moderately soiled, are lined, and if they're made of synthetic fibers or natural and synthetic blends.",0
1108651,o_6058576,No you cant use the toilet bleach for the white clothes.I am not using bleach for the white clothes i used oxiclean for the white clothes and it is great.I saw many times because i wash all my clothes with my hand so bleach destroy your clothe colors.Oxiclean is the best for white clothes.,1
1108651,o_6663873,"We're all encouraged to wear white in summer, since white clothing is supposed to keep us cool — but it doesn't. In fact, black clothing is the best way to keep cool in the heat. It's basic physics. And biology. Find out why cool people will wear black this summer.",2
1109707,o_1911564,"No, a radio wave is not a mechanical wave. A radio wave is a form of electromagnetic (EM) energy, and it does not require a medium through which to travel like a mechanical wa … ve does.Radio waves can travel through the vacuum of space.Let's contrast that with a mechanical wave. A mechanical wave involves the transfer of mechanical energy into and through a medium. Sound waves (which travel through air) and water waves (which move through water) are mechanical waves.They cannot travel without a medium through which to move. 11 people found this useful.o, a radio wave is not a mechanical wave. A radio wave is a form of electromagnetic (EM) energy, and it does not require a medium through which to travel like a mechanical wa … ve does.",0
1109707,o_4122615,"Best Answer: A sound wave is a type of pressure wave which can also be called a compression wave. Pressure waves depend on the presence of a medium such as air for it to travel through. Without the medium they cannot travel. Therefore neither A, C or D could travel through space as space is a vacuum lacking a medium. However, radio waves can travel through space. Radio waves form a section of the electromagnetic spectrum.",1
1109707,o_4788762,"How does a radio wave differ from a sound wave. A radio wave is an electromagnetic wave that travels at the speed of light, whereas a sound wave travels at the speed of sound through air or another elastic medium.",2
1110678,o_8155914,You are here: Home > What the UN is doing > Food and Agriculture Organization of the United Nations (FAO) Food and Agriculture Organization of the United Nations (FAO) www.fao.org,0
1110678,o_4562240,"The data on water consumption in the world is provided by the United Nations (UN, UNESCO, and FAO, see list of publications below).",1
1110678,o_7139329,"The FAO GeoNetwork allows to easily share spatial data among different FAO Units, other UN Agencies, NGO's and other institutions. The FAO GeoNetwork site is powered by GeoNetwork opensource. FAO and WFP, UNEP and more recently OCHA, have combined their research and mapping expertise to develop GeoNetwork opensource as a common strategy to effectively share their spatial databases including digital maps, satellite images and related statistics.",2
1113256,o_7561115,"Wondering how much Reba McEntire is worth? Or maybe you’re curious about Reba McEntire’s salary this year? Fortunately for you, we’ve got the details on Reba McEntire’s net worth for 2018. In 2018, Reba McEntire’s net worth was estimated to be $95 Million. Who Is Reba McEntire?",0
1113256,o_7561120,"Reba Mcentire. Reba Mcentire Net Worth is $65 Million. Reba McEntire is a country music star and actress, originally from Oklahoma, with an estimated net worth of $65 million dollars. Reba McEntire began performing on the rodeo circuit and was discovered by Red Ste. Reba Nell McEntire (born Mar...",1
1113256,o_8130530,"About Reba McEntire Reba McEntire is a popular American singer with an estimated net worth of $95 million. She was born Reba Nell McEntire on March 28, 1955 in McAlester, Oklahoma.",2
1115210,o_8111887,"Flare, chaff, or impulse cartridges that exhibit any sign of visible damage, or have been subjected to rough handling, will not be loaded into payload module assemblies. Unserviceable flare or impulse cartridges will be disposed of by Explosive Ordnance Disposal (EOD) personnel. Unserviceable chaff cartridges will be scrapped. Flare or chaff cartridges shall not be hammered or forced into payload module assemblies. A mixture of flare and chaff cartridges shall not be loaded in a payload module assembly. Flare cartridges will not be loaded in aircraft installations specified for chaff cartridges only.",0
1115210,o_8111878,Chaff and flares are used by fighter and bomber units over a wide range of altitudes and flight maneuvers or tactics. Deployment of chaff and flares does not interfere with the flight characteristics of the dispensing aircraft.,1
1115210,o_8111885,Chaff & Flare Products for Military Aircraft Esterline Defense Technologies has more than 40 years of experience in expendable air countermeasures and is part of the highly respected company,2
1116380,o_5104772,"Definition of nonconformance in the AudioEnglish.org Dictionary. Meaning of nonconformance. What does nonconformance mean? Proper usage of the word nonconformance. Information about nonconformance in the AudioEnglish.org dictionary, synonyms and antonyms.",0
1116380,o_521341,"Unconformity is the general term for missing pages of Earth history. There are three types of unconformities (below): angular unconformity, nonconformity, and disconformity.An angular unconformity (left) is an erosional surface separating steeply dipping rock layers below from gently dipping layers above.nconformity is the general term for missing pages of Earth history. There are three types of unconformities (below): angular unconformity, nonconformity, and disconformity.",1
1116380,o_6891415,"(B) The same nonconformity has been subject to repair three times, and the nonconformity has not been corrected; or. (C) The vehicle is out of service by reason of repair of one or more nonconformities for a cumulative total of 30 days.",2
1121353,o_8053113,No one should put up with workplace discrimination in Oklahoma; What is 'reasonable accommodation' under the ADA? June. What is the deadline to file an EEOC sexual harassment claim? What is wrongful termination based on genetic information? What can an employer deduct from an Oklahoma employee's pay? May. What is workplace 'age discrimination' in Oklahoma?,0
1121353,o_8053117,How can I file a workplace discrimination claim in Oklahoma? How is a hostile work environment defined in Oklahoma? Workers claim Chipotle broke wage & hour laws; October. Wrongful termination claims in Oklahoma may be complicated; What employment rights do members of the military have? OK pregnancy discrimination is the same as gender discrimination,1
1121353,o_1854970,"Local Laws. If you are gay or lesbian and your state does not have a law that protects you from workplace discrimination, you may still be protected by city and county ordinances. Many cities and counties prohibit discrimination on the basis of sexual orientation in at least some workplaces.",2
1122767,o_5877500,"Acetyl L Carnitine is one of the more common formulations of L-Carnitine, which is itself an amino acid that is produced from two other amino acids (Lysine and Methionine). This version, or form, of L-Carnitine is significant more active than it parent compound due to a higher degree of bioavailability.",0
1122767,o_6179209,"Acetyl-L-carnitine is an amino acid (a building block for proteins) that is naturally produced in the body. It helps the body produce energy.Acetyl-L-carnitine is used for a variety of mental disorders including Alzheimer's disease, age-related memory loss, late-life depression, thinking problems related to alcoholism, and thinking problems related to Lyme disease.cetyl-L-carnitine is an amino acid (a building block for proteins) that is naturally produced in the body. It helps the body produce energy.",1
1122767,o_5877496,"What is Acetyl L Carnitine - ALCAR Introduction. Acetyl-L-Carnitine is an amino acid the body uses to turn fat into energy. It is not normally considered an essential nutrient because the body can manufacture all it needs. However, supplemental Carnitine may improve the ability of certain tissues to produce energy.",2
1127540,o_8726956,"Shebang is slang for a situation, or a set of facts or things. An example of shebang is someone paying for the entire check for a large group dinner; paying for the whole shebang. shebang",0
1127540,o_8726961,"shebang definition: Shebang is slang for a situation, or a set of facts or things. (noun) An example of shebang is someone paying for the entire check for a large group dinner; paying for the whole shebang....",1
1127540,o_8726954,"Shebang is slang for a situation, or a set of facts or things. An example of shebang is someone paying for the entire check for a large group dinner; paying for the whole shebang. YourDictionary definition and usage example. shebang.",2
1131069,o_8432050,Robert and Myra Kraft's four sons are: Jonathan Kraft Daniel Kraft Joshua Kraft David Kraft.,0
1131069,o_8432048,"Robert K. Kraft HBS '65: Business Leader and Family Man By Kamara A. Swaby and Hellary Y. Zhang, CRIMSON STAFF WRITERS May 25, 2015 When Harry Kraft passed away, he left an “ethical will” to his son Robert K. Kraft, a 1965 graduate of Harvard Business School.",1
1131069,o_6907802,"Robert Kraft Net Worth is $1.4 Billion. Robert Kraft is a Massachusetts-born businessman with an estimated net worth of $1.4 billion dollars. Robert Kraft made his fortune as Chairman and CEO of The Kraft Group, which holds assets in everything from. Robert K. Kraft (born June 5... Robert Kraft Net Worth is $1.4 Billion. Robert Kraft is a Massachusetts-born businessman with an estimated net worth of $1.4 billion dollars. Robert Kraft made his fortune as Chairman and CEO of The Kraft Group, which holds assets in everything from Robert K. Kraft is an American business magnate.",2
1132532,o_23966,"On average, financial analysts are much better paid than the typical worker. According to data from the U.S. Bureau of Labor Statistics (BLS), the median annual income for financial analysts across all experience levels, as of May 2012, was $76,950. Financial analysts at the big Wall Street firms often make much more, even during the first year.",0
1132532,o_6716842,"For example, if data are collected on annual income (quantitative), occupation data (qualitative) could also be gathered to get more detail on the average annual income for each type of occupation.",1
1132532,o_4893092,"The healthcare data analysts in Chicago, IL seems to earn the highest salary as the records show they earn about $92,000, a figure with about 20% higher than the national average. The national average salary for this position is $76,000, which is 33% higher than the average income of all occupations.ealthcare data analyst salary in USA. In the United States, the average healthcare data analyst salary is around $57,519 every year. The salary range is from $39,037 to $76,026. However, experienced healthcare data analyst salary is 4 percent higher amounting to $59,819.",2
1133579,o_4931644,Granulation tissue is mostly composed of new blood vessels and fibroblasts and also tissue matrix due to which it can support different cell types. Fibroblasts is the main modifier of granulation tissue and at the start comprises of type III collagen network which is mostly weak.ranulation tissue is mostly composed of new blood vessels and fibroblasts and also tissue matrix due to which it can support different cell types. Fibroblasts is the main modifier of granulation tissue and at the start comprises of type III collagen network which is mostly weak.,0
