qid,query,docno,text,score,rank
156493,do goldfish grow,8182159_0,"'Goldfish usually grow with their environment so if they are in a large space and are fed enough, they do sometimes just keep growing.",-0.010874533094465733,0
156493,do goldfish grow,1960260_2,"Goldfish grow until they are at their mature size, but being in a small tank for them to grow can cause stunting.",-0.014606567099690437,1
156493,do goldfish grow,1960255_1,"Best Answer: Goldfish do not grow to the size of their tank, that is a myth.",-0.015799928456544876,2
156493,do goldfish grow,1960255_2,"Goldfish grow until they are at their mature size, but being in a tank too small for them to grow properly can cause stunting.",-0.017682410776615143,3
156493,do goldfish grow,2949802_0,"If kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-0.03297527879476547,4
156493,do goldfish grow,2949801_1,"If kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-0.03297527879476547,5
156493,do goldfish grow,2317807_1,"If kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-0.03297527879476547,6
156493,do goldfish grow,885944_2,"If kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-0.03297527879476547,7
156493,do goldfish grow,2411918_1,"If kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-0.03297527879476547,8
156493,do goldfish grow,2612491_0,"Goldfish growth rates can be massive for their first few weeks after hatching in a perfect growing environment, as much as a 50% or more increase in body length in a week.",-0.033234767615795135,9
156493,do goldfish grow,7371077_1,"Most fancy goldfish varieties grow up to 6 or 7 inches long (15 or 18 centimeters), while common and comet goldfish can grow to a foot long (30 centimeters) and even more.",-0.03365107253193855,10
156493,do goldfish grow,3288600_0,A goldfish will grow to the depth of the water it is kept in.,-0.038549553602933884,11
156493,do goldfish grow,8273017_0,"pond goldfish like comets, shubunkins, and wakins can grow well over 12inches. fancier varieties like ranchus,lionhead,and orandas can grow over 10 inches. other fancy varieties like ryukins,black moors, fantails, etc. can grow over 6-7 inches.",-0.03900699317455292,12
156493,do goldfish grow,3288601_0,A goldfish will grow to the depth of the water it is kept in.,-0.03995950147509575,13
156493,do goldfish grow,2612491_1,"Goldfish growth rates are totally dependent on the conditions they are kept in, and the amount of high quality food they receive.",-0.04128430411219597,14
156493,do goldfish grow,2598786_1,A goldfish can grow up to 12 inches(30cm) plus.,-0.0449814610183239,15
156493,do goldfish grow,2928705_0,I read somewhere totally scientific that goldfish will grow to a size commensurate with the size of their environment.,-0.045815229415893555,16
156493,do goldfish grow,1960259_1,Goldfish sold as tank suitable will grow to about 10 inches while those sold as pond suitable will reach a maximum of about 18 inches.,-0.05329684540629387,17
156493,do goldfish grow,8182165_0,"Goldfish may grow to a maximum length of 23 inches (59 cm) and a maximum weight of 9.9 pounds (4.5 kg), although this is rare; most individual goldfish grow to under half this size.",-0.057260241359472275,18
156493,do goldfish grow,6775071_0,Goldfish grow much more slowly than some other fish.,-0.05758203938603401,19
156493,do goldfish grow,6139382_0,"Common goldfish, comet goldfish, and other single tail goldfish need ponds or huge tanks as they can grow up to a foot or more in length.",-0.05898722633719444,20
156493,do goldfish grow,95514_0,"Fancy goldfish typically grow to 8 inches, while single tail goldfish grow to 10 and sometimes up to 12 inches in length.",-0.059925615787506104,21
156493,do goldfish grow,2928707_0,Goldfish Only Grow to the Size of Their Enclosure.,-0.0611279234290123,22
156493,do goldfish grow,1960257_0,Goldfish Only Grow to the Size of Their Enclosure.,-0.0611279234290123,23
156493,do goldfish grow,1960261_1,"How big your goldfish will grow is determined by the animal's genetics, not by the size of his environment.",-0.06616178154945374,24
156493,do goldfish grow,3288596_0,"If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die.",-0.06882081180810928,25
156493,do goldfish grow,8182160_1,"If you keep your goldfish in a small tank and you limit his feeding, he will grow fairly slowly and may not grow to more than 3 or 4 inches before he succumbs to poor health and dies.",-0.07055451720952988,26
156493,do goldfish grow,8182160_0,The rate at which your goldfish grows will depend on several factors and the size of his tank does come into play here.,-0.07137412577867508,27
156493,do goldfish grow,5530082_3,"However, most goldfish grow to only half that size.",-0.07282081246376038,28
156493,do goldfish grow,349643_0,Goldfish commonly grow to over 12 inches.,-0.0731348767876625,29
156493,do goldfish grow,1277726_0,Goldfish commonly grow to over 12 inches.,-0.07391871511936188,30
156493,do goldfish grow,6139386_2,Goldfish will not grow if water conditions are poor.,-0.07540805637836456,31
156493,do goldfish grow,2928702_0,"Large aquariums are a definite requirement for their long-term care and survival, as goldfish can grow quite large, depending on the breed.",-0.07638838142156601,32
156493,do goldfish grow,6139386_1,I have seen goldfish grow ridiculously large in very small containers when their water was changed frequently.,-0.08079414069652557,33
156493,do goldfish grow,349638_1,Many goldfish can grow over a foot long-here is a list of standard sizes to expect a goldfish to grow:,-0.08520148694515228,34
156493,do goldfish grow,2949801_2,Fancy goldfish normally grow to 8 inches (20cm).,-0.09143327176570892,35
156493,do goldfish grow,2317807_2,Fancy goldfish normally grow to 8 inches (20cm).,-0.09143327176570892,36
156493,do goldfish grow,885944_3,Fancy goldfish normally grow to 8 inches (20cm).,-0.09143327176570892,37
156493,do goldfish grow,2411918_2,Fancy goldfish normally grow to 8 inches (20cm).,-0.09356074035167694,38
156493,do goldfish grow,2411918_4,Fancy goldfish normally grow to 8 inches (20cm).,-0.09356074035167694,39
156493,do goldfish grow,95515_0,"How big your goldfish will grow is determined by the animal's genetics, not by the size of his environment.",-0.09357333183288574,40
156493,do goldfish grow,2949802_1,Fancy goldfish normally grow to 8 inches (20cm).,-0.09686196595430374,41
156493,do goldfish grow,3288597_0,You will see your goldfish grow fast.,-0.09758840501308441,42
156493,do goldfish grow,8273019_1,Many goldfish can grow over a foot long- here is a list of standard sizes to expect a goldfish to grow:,-0.09846988320350647,43
156493,do goldfish grow,2259183_1,"In a small 5-gallon aquarium, your goldfish will still grow.",-0.09994341433048248,44
156493,do goldfish grow,8182161_0,"A: While goldfish can grow up to 18 inches in length and can weigh more than six pounds, most never attain such large size.",-0.10496050864458084,45
156493,do goldfish grow,3288603_0,"When goldfish are in a tiny bowl, they still grow, but much more slowly.",-0.10622011125087738,46
156493,do goldfish grow,2928707_2,"When properly cared for, goldfish will not stop growing.",-0.11177126318216324,47
156493,do goldfish grow,1960257_2,"When properly cared for, goldfish will not stop growing.",-0.11177126318216324,48
156493,do goldfish grow,2259182_0,"Common goldfish, comet goldfish, and other single tail goldfish need ponds or huge tanks as they can grow up to a foot or more in length.",-0.133184552192688,49
156493,do goldfish grow,1277727_0,Common Goldfish can grow over 90 centimeters and take more than 2 years to max out.,-0.13607144355773926,50
156493,do goldfish grow,3288598_1,As mentioned above these factors will influence the growth potential of your goldfish.,-0.1418648362159729,51
156493,do goldfish grow,2259183_0,A large tank gives your goldfish plenty of room to grow to their full potential.,-0.14384989440441132,52
156493,do goldfish grow,3288601_1,"If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die.",-0.1463051736354828,53
156493,do goldfish grow,3288597_2,If you want your goldfish to grow fast consider feeding them a wide variety of food.,-0.14824865758419037,54
156493,do goldfish grow,3288600_1,"If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die.",-0.1498814821243286,55
156493,do goldfish grow,8182161_1,"Goldfish occur in a number of different varieties, and some grow larger than others.",-0.15103115141391754,56
156493,do goldfish grow,2612490_0,"So to really answer the question, “How Fast Do Goldfish Grow” really has too many factors to really answer.",-0.1544625461101532,57
156493,do goldfish grow,2612492_2,As mentioned above these factors will influence the growth potential of your goldfish.,-0.15588915348052979,58
156493,do goldfish grow,6139386_0,A: The conditions goldfish are kept in plus their diet determine how large they will grow.,-0.16441625356674194,59
156493,do goldfish grow,3288596_2,"The more room you can give your goldfish, the faster it will grow.",-0.1997031569480896,60
156493,do goldfish grow,3288595_0,A Goldfish will grow quicker if you increase its metabolism slightly.,-0.21140867471694946,61
156493,do goldfish grow,1277723_0,Fancy goldfish don’t grow as large as Common goldfish.,-0.21628856658935547,62
156493,do goldfish grow,6139386_3,Fancy goldfish don’t grow as large as Common goldfish.,-0.23137924075126648,63
156493,do goldfish grow,3288599_1,If you want your goldfish to grow fast consider feeding them a wide variety of food.,-0.23394308984279633,64
156493,do goldfish grow,1277727_2,"Fancy Goldfish can grow to about 20 centimeters ant take about 2 years to max out I hope the Goldfish aren't Fancy, Koi can get very nasty.",-0.29510271549224854,65
156493,do goldfish grow,1277725_0,"Fancy Goldfish (Ryukins, orandas, fan tail, bubble eyes) - Grow about 6 inches.",-0.301949143409729,66
156493,do goldfish grow,95515_1,"If your goldfish doesn't have enough space to grow to his full size, he will likely die before you notice that the environment is not large enough.",-0.4292416274547577,67
156493,do goldfish grow,2612490_3,Everyone grows differently and the same goes for goldfish.,-0.44199928641319275,68
156493,do goldfish grow,3288597_1,The goldfish food that you feed them plays a part in their growth as well.,-0.504887580871582,69
156493,do goldfish grow,3288599_0,The goldfish food that you feed them plays a part in their growth as well.,-0.5084264278411865,70
156493,do goldfish grow,95521_0,"Small tanks provide poorer water quality than large ones, and will stunt growth in goldfish, often preventing them from reaching their average size of between 8 and 12 inches.",-0.5869147181510925,71
156493,do goldfish grow,8182166_4,Can a goldfish actually grow that big?,-0.6191700100898743,72
156493,do goldfish grow,3288597_3,Also high growth food will help as well maximizing the growth of your goldfish.,-0.6553736925125122,73
156493,do goldfish grow,2259183_2,"But growth will become stunted, and your goldfish won’t be able to develop properly.",-0.6833088994026184,74
156493,do goldfish grow,3288598_0,How fast do goldfish grow is really a tough question to answer really.,-0.73652583360672,75
156493,do goldfish grow,3288599_2,Also high growth food will help as well maximizing the growth of your goldfish.,-0.7807052731513977,76
156493,do goldfish grow,95521_1,But give a goldfish good quality water and lots of space and you’ll give him every chance of growing to a good size.,-1.0251576900482178,77
156493,do goldfish grow,1960261_2,"If your goldfish doesn't have enough space to grow to his full size, he will likely die before you notice that the environment is not large enough.",-1.0576914548873901,78
156493,do goldfish grow,2612492_1,How fast do goldfish grow is really a tough question to answer really.,-1.34893798828125,79
156493,do goldfish grow,2411918_3,"The normal life expectancy of a single tail goldfish is about 20 years.f kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-1.8624902963638306,80
156493,do goldfish grow,3288596_1,The fancy goldfish do not get as large as the common/comet/shubunkin/feeder goldfish.,-3.0560836791992188,81
156493,do goldfish grow,3288600_2,The fancy goldfish do not get as large as the common/comet/shubunkin/feeder goldfish.,-3.285072088241577,82
156493,do goldfish grow,750111_1,A goldfish needs an aquarium of at least 30 gallons (with proper filtrati … on and aeration) to thrive.,-4.419088363647461,83
156493,do goldfish grow,8182166_0,How big do goldfish grow?,-4.7348198890686035,84
156493,do goldfish grow,5530082_0,Goldfish (Carassius auratus) are a species of domesticated fish.,-4.849259376525879,85
156493,do goldfish grow,750111_3,Goldfish generally don't get as big as they say but they do get large.,-4.935210704803467,86
156493,do goldfish grow,7371077_0,Goldfish are very large compared to many tropical fish species.,-5.531888008117676,87
156493,do goldfish grow,2598786_0,"Goldfish ponds need to provide clean, well oxygenated water for its inhabitants to grow up happy and healthy.",-7.138966083526611,88
156493,do goldfish grow,6775071_1,"Many species are not able to breed until they are 1 year old, and most goldfish are not considered adults until they are about 2 or 3.",-7.574867248535156,89
156493,do goldfish grow,2928702_1,"The common goldfish, so popular on fairgrounds, are among the largest, and they are capable of reaching over 18 inches and 10 pounds.",-7.955251693725586,90
156493,do goldfish grow,5530082_1,Goldfish belong to the carp family and were domesticated in China in the Tang Dynasty.,-8.468183517456055,91
156493,do goldfish grow,1277726_3,Goldfish should really be kept in a pond.,-8.476950645446777,92
