qid,docno,text,rank
1030303,rm_4543867,"Aziz Hashim is one of the world’s leading experts on franchising and a highly regarded executive in the U.S. and international franchise space. He is the Founder and Managing Partner of NRD Capital (NRD), the first business fund both sponsored and managed by a former multi-unit franchisee.",0
1030303,rm_73465,"Azim Premji. Azim Hashim Premji (born 24 July 1945) is an Indian business tycoon, investor, and philanthropist. who is the chairman of Wipro Limited. He is informally known as the Czar of the Indian IT Industry.",1
1030303,rm_8813537,"Mr. Aziz Hashim has been the President and Secretary of Frisch's Restaurants, Inc. since August 24, 2015. Mr. Hashim is the Founder and Managing Partner at NRD Capital Management, LLC. He serves as the Chief Executive Officer of NRD Partners I, L.P. He founded NRD Capital Management in 2014.",2
1037496,rm_4543867,Congressman Scalise is a graduate of Louisiana State University. He received his B.S. in Computer Science in 1989 with a minor in Political Science. Scalise is a former systems engineer. The Congressman’s commitment to service began early as he was twice elected Speaker of LSU’s Student Government Association. He was a member of the Louisiana House and the Louisiana Senate from 1996 to 2008.,0
1037496,rm_73465,"Stephen Joseph Steve Scalise (born October 6, 1965) is the current United States House of Representatives Majority Whip and representative for Louisiana's 1st congressional district, serving since 2008. He is a member of the Republican Party and the chairman of the conservative House Republican Study Committee. Prior to his congressional tenure, Scalise served for four months in the Louisiana State Senate and twelve years in the Louisiana House of Representatives.",1
1037496,rm_8813537,"Stephen Joseph Steve Scalise (born October 6, 1965) is the current United States House of Representatives Majority Whip and representative for Louisiana's 1st congressional district, serving since 2008. He is a member of the Republican Party and the chairman of the conservative House Republican Study Committee. Prior to his congressional tenure, Scalise served for four months in the Louisiana State Senate and twelve years in the Louisiana House of Representatives. On June 19, 2014, Scalise was elected by his Republican colleagues to serve as Majority Whip of the United States House of Representatives.",2
1043135,rm_4543867,Answer by Aratherlongword. It is not sure if he was the one who killed Nicholas II but most historians agree that Yakov Yurovsky killed Nicholas II.,0
1043135,rm_73465,"(1868-1918). Nicholas II was the last emperor, or tsar, of Russia, serving from 1894 to 1917. Nicholas, his wife, and their five children were killed by the Bolsheviks, members of a revolutionary group (led by Lenin) who seized control of the government in Russia during the October Revolution (see Russian Revolution) of 1917.",1
1043135,rm_8813537,"Bolsheviks executed him and his family on the night of July 16-17, 1918, in Yekaterinburg, Russia. Early Life. Nicholas II was born Nikolai Aleksandrovich Romanov in Pushkin, Russia, on May 6, 1868. He was his parents' firstborn child.",2
1051399,rm_4543867,Confidence votes 140. The Monk theme song is It's a Jungle Out There by Randy Newman. The Monk theme song is It's a Jungle Out There by Randy Newman.,0
1051399,rm_73465,The Monk theme song is It's a Jungle Out There by Randy Newman. The Monk theme song is It's a Jungle Out There by Randy Newman.,1
1051399,rm_8813537,"It's a Jungle Out There is a song written by Randy Newman, and used as the theme song for the TV series Monk starting in its second season. In 2004, it won an Emmy Award for Outstanding Main Title Theme Music.",2
1064670,rm_4543867,"Why do hunters pattern their shotguns? 1. Understanding the Importance of Cartridge and Choke Performance. There’s no difference between zeroing the rifle and patterning the shotgun. The process is both easy and beneficial. When hunting, it’s important to adopt humane methods to capture the animal.",0
1064670,rm_73465,Why do hunters pattern their shotguns? to decide what animal to hunt to select ammunition with the best performance to compete against other hunters to identify the best shooting position to use in the field,1
1064670,rm_8813537,"That's the reason why many hunters opt to test their shotguns and pattern it before intense hunting sessions. You wouldn't want to go in without knowing your gun well enough. Not only does this lessen the number of clean kills you can make, but it may also hurt something in the process due to inaccurate shooting.",2
1071750,rm_4543867,"This Pete Rose rookie card is the most valuable rookie card from the 1960s. Pete Rose is the game’s all-time hits leader, but despite that, he was excluded from the Hall of Fame because of being banned from the game after gambling on matches. Also featured on the card are Pedro Gonzalez, Ken McMullen, and Al Weis.",0
1071750,rm_73465,Pete Rose still banned from baseball after MLB rejects application for reinstatement. Pete Rose is still ineligible for the baseball Hall of Fame. Pete Rose is still ineligible for the baseball Hall of Fame. Baseball's all-time hit leader has struck out in what appears to be his final shot at the Hall of Fame. Pete Rose was denied reinstatement to Major League Baseball by Commissioner Rob Manfred on Monday. The Hall of Fame does not consider for induction any party on baseball's restricted list.,1
1071750,rm_8813537,I understand that Pete Rose was banned due to gambling on games while he was both a player and manager of the Reds. But why is this necessarily a bad thing?,2
1105792,rm_4543867,"Geon (n.) 1.(MeSH)A polyvinyl resin used extensively in the manufacture of plastics, including medical devices, tubing, and other packaging.",0
1105792,rm_73465,Definition of the noun GEON. What does GEON mean as a name of something? noun [physics] A hypothetical electromagnetic or gravitational wave held together in a confined region by the gravitational attraction of its own field energy.,1
1105792,rm_8813537,"Geon (physics), a hypothetical gravitational wave packet. Geon (psychology), a geometrical primitive out of which everyday objects can be represented. Geon, short for geonim, rabbis in the medieval era.",2
1106979,rm_4543867,"Pareto chart. A Pareto chart, named after Vilfredo Pareto, is a type of chart that contains both bars and a line graph, where individual values are represented in descending order by bars, and the cumulative total is represented by the line.",0
1106979,rm_73465,A Pareto chart is a specific type of histogram that ranks causes or issues by their overall influence. A Pareto chart assists in prioritizing corrective actions as the issues with the greatest impact are displayed in order.,1
1106979,rm_8813537,A Pareto chart is a special type of histogram that represents the Pareto philosophy (the 80/20 rule) through displaying the events by order of impact.,2
1108651,rm_4543867,"Bleach is also the best way to get white clothes white again, and helps remove stubborn, older stains. Choose Warm Water for Moderately Soiled, Synthetic Blend White Clothes Wash white clothes in warm water if they're moderately soiled, are lined, and if they're made of synthetic fibers or natural and synthetic blends.",0
