qid,query,docno,text,score,rank
1030303,who is aziz hashim,8726432_1,"Azim Hashim Premji (born 24 July 1945) is an Indian business tycoon, investor, and philanthropist. who is the chairman of Wipro Limited.",-0.0013943722005933523,0
1030303,who is aziz hashim,8726437_0,Aziz Hashim is one of the world’s leading experts on franchising and a highly regarded executive in the U.S. and international franchise space.,-0.002279185689985752,1
1030303,who is aziz hashim,8726435_0,"Mr. Aziz Hashim has been the President and Secretary of Frisch's Restaurants, Inc. since August 24, 2015.",-0.007538088131695986,2
1030303,who is aziz hashim,8726436_1,1 Public Profile Aziz Hashim Managing Partner at NRD Capital.,-0.012646243907511234,3
1030303,who is aziz hashim,8726435_1,"Mr. Hashim is the Founder and Managing Partner at NRD Capital Management, LLC.",-0.014514457434415817,4
1030303,who is aziz hashim,7156982_0,"Rounding out the IFA leadership team is Aziz Hashim, a multi-unit, multi-brand franchisee and president & CEO of NRD Holdings, LLC, as vice chair; Shelly Sun, CFE, CEO & co-founder of BrightStar Franchising, LLC, as treasurer; and Liam Brown, president of U.",-0.019522778689861298,5
1030303,who is aziz hashim,1305520_0,"Hashim (Arabic: هاشم ‎) is a common male Arabic given name, which signifies breaker of bread.The title Hashim was given to 'Amr al-ʻUlā ibn 'Abd Manaf, as he was generous in providing bread to poor people and travellers.This Hashim was the great-grandfather of the Islamic prophet Muhammad and the progenitor of the Banu Hashim clan of the distinguished Quraish tribe in Mecca.",-0.028177538886666298,6
1030303,who is aziz hashim,3302258_0,"Hazrat Umar bin Abdul Aziz, surnamed Al-Khalifat-us-Saleh (The pious Caliph) was the son of Abdul Aziz, the Governor of Egypt, and his mother, Umm-i-Aasim was the grand daughter of the Caliph Umar.",-0.03535472974181175,7
1030303,who is aziz hashim,8726433_0,Romaniello calls Hashim a “terrific” leader at the IFA: “Aziz is very smart.,-0.06523793935775757,8
1030303,who is aziz hashim,8726436_2,2 Public Profile Hazizul Aziz Mohamad Hashim Project Accountant/ Cost control.,-0.07208403199911118,9
