qid,docno,text,rank
1030303,o_8726432,"Azim Premji. Azim Hashim Premji (born 24 July 1945) is an Indian business tycoon, investor, and philanthropist. who is the chairman of Wipro Limited. He is informally known as the Czar of the Indian IT Industry.",0
1030303,o_8726437,"Aziz Hashim is one of the world’s leading experts on franchising and a highly regarded executive in the U.S. and international franchise space. He is the Founder and Managing Partner of NRD Capital (NRD), the first business fund both sponsored and managed by a former multi-unit franchisee.",1
1030303,o_8726435,"Mr. Aziz Hashim has been the President and Secretary of Frisch's Restaurants, Inc. since August 24, 2015. Mr. Hashim is the Founder and Managing Partner at NRD Capital Management, LLC. He serves as the Chief Executive Officer of NRD Partners I, L.P. He founded NRD Capital Management in 2014.",2
1037496,o_7766583,"Stephen Joseph Steve Scalise (born October 6, 1965) is the current United States House of Representatives Majority Whip and representative for Louisiana's 1st congressional district, serving since 2008. He is a member of the Republican Party and the chairman of the conservative House Republican Study Committee. Prior to his congressional tenure, Scalise served for four months in the Louisiana State Senate and twelve years in the Louisiana House of Representatives. On June 19, 2014, Scalise was elected by his Republican colleagues to serve as Majority Whip of the United States House of Representatives.",0
1037496,o_3725934,"Stephen Joseph Steve Scalise (born October 6, 1965) is the current United States House of Representatives Majority Whip and representative for Louisiana's 1st congressional district, serving since 2008. He is a member of the Republican Party and the chairman of the conservative House Republican Study Committee. Prior to his congressional tenure, Scalise served for four months in the Louisiana State Senate and twelve years in the Louisiana House of Representatives.",1
1037496,o_4760912,"Steven Joseph Steve Scalise (b. October 6, 1965, in New Orleans, La.) is a Republican member of the U.S. House of Representatives representing Louisiana's 1st Congressional District. Scalise was first elected to the House in a 2008 special election to fill the vacancy caused by the resignation of Rep. Bobby Jindal.",2
1043135,o_650642,"(1868-1918). Nicholas II was the last emperor, or tsar, of Russia, serving from 1894 to 1917. Nicholas, his wife, and their five children were killed by the Bolsheviks, members of a revolutionary group (led by Lenin) who seized control of the government in Russia during the October Revolution (see Russian Revolution) of 1917.",0
1043135,o_8696952,Answer by Aratherlongword. It is not sure if he was the one who killed Nicholas II but most historians agree that Yakov Yurovsky killed Nicholas II.,1
1043135,o_6044059,"12:01AM BST 19 Sep 2004. Comments. Rasputin, the Russian monk who became the confidant of Alexandra, the Tsarina, and her husband, Tsar Nicholas II, was killed by a British agent, according to a documentary to be broadcast next month.",2
1051399,o_69818,Confidence votes 140. The Monk theme song is It's a Jungle Out There by Randy Newman. The Monk theme song is It's a Jungle Out There by Randy Newman.,0
1051399,o_69813,exists and is an alternate of . The Monk theme song is It's a Jungle Out There by Randy Newman. The Monk theme song is It's a Jungle Out There by Randy Newman.,1
1051399,o_3943228,"It's a Jungle Out There is a song written by Randy Newman, and used as the theme song for the TV series Monk starting in its second season. In 2004, it won an Emmy Award for Outstanding Main Title Theme Music.",2
1064670,o_8680897,"Why do hunters pattern their shotguns? 1. Understanding the Importance of Cartridge and Choke Performance. There’s no difference between zeroing the rifle and patterning the shotgun. The process is both easy and beneficial. When hunting, it’s important to adopt humane methods to capture the animal.",0
1064670,o_8680904,Why do hunters pattern their shotguns? to decide what animal to hunt to select ammunition with the best performance to compete against other hunters to identify the best shooting position to use in the field,1
1064670,o_8680903,"This is called “patterning your shotgun.” All shotgun hunters need to pattern their firearms to determine which brands of shells, shot sizes, and loads perform best and at what range. A shotgun may have a good pattern (high density of hits), but shoot off target. If this is the case, you will need to have the stock adjusted by a gunsmith. ← Previous",2
1071750,o_3575934,"This Pete Rose rookie card is the most valuable rookie card from the 1960s. Pete Rose is the game’s all-time hits leader, but despite that, he was excluded from the Hall of Fame because of being banned from the game after gambling on matches. Also featured on the card are Pedro Gonzalez, Ken McMullen, and Al Weis.",0
1071750,o_3928913,Pete Rose still banned from baseball after MLB rejects application for reinstatement. Pete Rose is still ineligible for the baseball Hall of Fame. Pete Rose is still ineligible for the baseball Hall of Fame. Baseball's all-time hit leader has struck out in what appears to be his final shot at the Hall of Fame. Pete Rose was denied reinstatement to Major League Baseball by Commissioner Rob Manfred on Monday. The Hall of Fame does not consider for induction any party on baseball's restricted list.,1
1071750,o_8378390,"Former Baltimore Orioles star Cal Ripken Jr. said on SI Now on Thursday that he believes Pete Rose should be inducted into the Baseball Hall of Fame. Rose, 73, was banned from baseball for life in 1989 for betting on games.",2
1105792,o_8201619,"Geon (n.) 1.(MeSH)A polyvinyl resin used extensively in the manufacture of plastics, including medical devices, tubing, and other packaging.",0
1105792,o_8201613,"Geon (physics), a hypothetical gravitational wave packet Geon (psychology), a geometrical primitive out of which everyday objects can be represented Geon, short for geonim, rabbis in the medieval era Geon, a character from the King of the Monsters series of video games",1
1105792,o_8201614,Definition of the noun GEON. What does GEON mean as a name of something? noun [physics] A hypothetical electromagnetic or gravitational wave held together in a confined region by the gravitational attraction of its own field energy.,2
1106979,o_799359,"Pareto chart. A Pareto chart, named after Vilfredo Pareto, is a type of chart that contains both bars and a line graph, where individual values are represented in descending order by bars, and the cumulative total is represented by the line.",0
1106979,o_3290651,A Pareto chart is a specific type of histogram that ranks causes or issues by their overall influence. A Pareto chart assists in prioritizing corrective actions as the issues with the greatest impact are displayed in order.,1
1106979,o_2306620,Pareto charts: A Pareto chart is a bar graph where the bars are drawn in decreasing order of frequency or relative. frequency and is used to graphically summarize and display the relative importance of the differences. between groups of data.,2
1108651,o_8175412,"Bleach is also the best way to get white clothes white again, and helps remove stubborn, older stains. Choose Warm Water for Moderately Soiled, Synthetic Blend White Clothes Wash white clothes in warm water if they're moderately soiled, are lined, and if they're made of synthetic fibers or natural and synthetic blends.",0
1108651,o_4911228,"Quick Answer. To remove dye from white clothing, chlorine bleach works best. To use this method, users should add 1/2 cup of bleach to a gallon of water and soak the clothing for 30 minutes; after the clothes have soaked, they should then be washed as normal. For fabrics that are not white, a dye or color remover is optimal.",1
1108651,o_1421355,"1 White vinegar for whiter clothes – here’s another inexpensive way to whiten your clothes without using bleach. 2  When you start a wash, use your detergent as usual but add ½ cup to 1 cup of white vinegar. 3  Don’t worry about the smell. 4  It will be there only initially.",2
1109707,o_4370753,"They do not require a medium to travel through. A radio wave is composed of an electrical wave, and a magnetic wave. The 2 waves travel together, creating each other as the wave travels through what ever medium it is in, be that air, wire, or what we call space. kerry k · 10 years ago.",0
1109707,o_5947139,"No, a radio wave is not a mechanical wave. A radio wave is a form of electromagnetic (EM) energy, and it does not require a medium through which to travel like a mechanical wa … ve does. Radio waves can travel through the vacuum of space. Let's contrast that with a mechanical wave. A mechanical wave involves the transfer of mechanical energy into and through a medium. Sound waves (which travel through air) and water waves (which move through water) are mechanical waves.",1
1109707,o_3982977,"No, a radio wave is not a mechanical wave. A radio wave is a form of electromagnetic (EM) energy, and it does not require a medium through which to travel like a mechanical wa … ve does. Radio waves can travel through the vacuum of space. Let's contrast that with a mechanical wave.",2
1110678,o_8155912,"Role of the FAO. The Food and Agriculture Organization of the United Nations is an agency of the United Nations that leads international efforts to defeat hunger. Serving both developed and developing countries, FAO acts as a neutral forum where all nations meet as equals to negotiate agreements and debate policy.",0
1110678,o_2713708,"FAO: Fleet Administration Office (US Navy) FAO: Fondation pour les Aînés de l'Outaouais (French: Foundation for Seniors in Ottawa; Ottawa, Canada) FAO: Fonderies et Ateliers de l'Ouest (French: Foundries and Workshops of the West) FAO: For Addressee Only: FAO: Forward Area Officer (UK) FAO: Forward Artillery Observer (army) FAO",1
1110678,o_8155914,You are here: Home > What the UN is doing > Food and Agriculture Organization of the United Nations (FAO) Food and Agriculture Organization of the United Nations (FAO) www.fao.org,2
1113256,o_7561120,"Reba Mcentire. Reba Mcentire Net Worth is $65 Million. Reba McEntire is a country music star and actress, originally from Oklahoma, with an estimated net worth of $65 million dollars. Reba McEntire began performing on the rodeo circuit and was discovered by Red Ste. Reba Nell McEntire (born Mar...",0
1113256,o_7561113,"About Reba McEntire. Reba McEntire is a popular American singer with an estimated net worth of $95 million. She was born Reba Nell McEntire on March 28, 1955 in McAlester, Oklahoma. She has had great success as a songwriter, singer, and actress.",1
