qid,docno,text,rank
156493,o_8182161,"A: While goldfish can grow up to 18 inches in length and can weigh more than six pounds, most never attain such large size. Goldfish occur in a number of different varieties, and some grow larger than others. The most common goldfish in state fairs and pet shops is the “common goldfish.”",0
156493,o_6139386,"A: The conditions goldfish are kept in plus their diet determine how large they will grow. I have seen goldfish grow ridiculously large in very small containers when their water was changed frequently. Goldfish will not grow if water conditions are poor. Fancy goldfish don’t grow as large as Common goldfish. A good size would be around 5 inches body length for most fancy varieties, 8 inches for Comets and 12 inches for Common Goldfish. These sizes are usually only attained by pond grown fish.",1
156493,o_3288600,"A goldfish will grow to the depth of the water it is kept in. If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die. The fancy goldfish do not get as large as the common/comet/shubunkin/feeder goldfish.",2
1110199,o_3838645,"Also like WiFi, Bluetooth is “fairly” secure. Unlike WiFi, tethering via Bluetooth isn’t all that common. Sure, people do it, but it’s a little more involved to set up than WiFi, and a little more involved every time you want to use Bluetooth tethering. If power consumption is a concern, Bluetooth is probably the way to go, if you’re willing to configure it.",0
1110199,o_554521,"New Arrival. All kinds of Tablet Pc Wifi Bluetooth Camera are available on LightInTheBox. It is guaranteed that these cool Tablet Pc Wifi Bluetooth Camera are in high quality and affordable price. Check out our website and buy your favorite Tablet Pc Wifi Bluetooth Camera. Also, other kinds of awesome products are available on LightInTheBox.",1
1110199,o_398442,Related: wifi repeater wifi router wifi long range antenna wifi range extender wireless router bluetooth transmitter wifi extender outdoor wifi antenna wifi antenna.,2
1063750,o_4788295,"Best Answer: You need to check your time line-USA entered WW1 in April 1917,some months before the Bolshevik Revolution in Russia that took them out of WW1.USA and Russia were both participants in WW1 for several months in 1917.The situation in Russia had nothing to do with US entry into WW1.f Russia hasn't pulled out of ww1, we(America) wouldn't had entered a war that didnt even touch our soil and possibly hundreds of thousands of Americans wouldn't had lost their lives. The allies needed the manpower but Russia couldn't wait for another year to start their revolution. Add your answer.",0
1063750,o_2997653,"Answer Italians just wanted to gain the land that was lost during WW1. Not only that they wanted to get some what of a reputation back because they were not liked by many countries Italy and Japan did not lose land in WW1.They were on the Allied side in WW1, and they entered WW2 with sizeable….nswer Italians just wanted to gain the land that was lost during WW1. Not only that they wanted to get some what of a reputation back because they were not liked by many countries Italy and Japan did not lose land in WW1.",1
1063750,o_4337527,The U.S entered WW1 for several reasons. The U.S entered for two main reasons: one was that the Germans had declared unlimited German submarine warfare and the Zimmermann note.,2
130510,o_1494936,"A declaratory judgment, sometimes called declaratory relief, is conclusive and legally binding as to the present and future rights of the parties involved. The parties involved in a declaratory judgment may not later seek another court resolution of the same legal issue unless they appeal the judgment.",0
130510,o_7125239,Common law. 1  Consent judgment: a consent judgment is available where the parties agree on the terms of the judgment or order that should be made. 2  Declaratory judgment: a declaratory judgment can be made by the courts regardless of whether a remedy is being claimed.,1
130510,o_799647,"Declaratory judgments are judgment of a court in a civil case that declares the rights, duties, or obligations of each party in a dispute. However, a declaratory judgment does not order any action or result in any award of damages to any party to the case.",2
489204,o_1479542,"LOWER Right Abdominal Pain. Lower right abdominal pain may be due to some of the same causes discussed under upper right abdominal pain. With the lower abdominal regions, the continuation with the pelvic cavity means that pathologies of the pelvic organs or structures may also be a cause of pain.",0
489204,o_1051498,"Lower right abdominal pain may be due to some of the same causes discussed under upper right abdominal pain. With the lower abdominal regions, the continuation with the pelvic cavity means that pathologies of the pelvic organs or structures may also be a cause of pain.",1
489204,o_1950269,"Chronic pelvic pain is pain in the area below your bellybutton and between your hips that lasts six months or longer. Chronic pelvic pain can have multiple causes. It can be a symptom of another disease, or it can be a condition in its own right. If your chronic pelvic pain appears to be caused by another medical problem, treating that problem may be enough to eliminate your pain.",2
573724,o_2417985,Social determinants. 1  Commission on Social Determinants of Health. 2  Socioeconomic Determinants of Health. 3  Social Determinants of Health.  Public Health Agency of 1  Canada. Childcare resource and research unit.  Inclusive Cities Canada.,0
573724,o_394136,Social determinants of health. The social determinants of health (SDOH) are the economic and social conditions and their distribution among the population that influence individual and group differences in health status.,1
573724,o_394139,"Social determinants of health - Commonly accepted determinants. 1  There is no single definition of the social determinants of health, but there are commonalities, and many governmental and non-governmental organizations recognize that there are social factors which impact the health of individuals.",2
168216,o_3344828,"LEGIONELLA PNEUMOPHILA. Like C. pneumoniae, Legionella species are intracellular organisms. Legionella pneumophila is the most pathogenic species, and several serotypes have been identified. Serotype 1 has been associated with most reported human cases of pneumonia caused by L. pneumonphila.11.",0
168216,o_1381477,"Legionella pneumophila is the bacterial type that causes the pneumonia known as Legionnaires' disease. Other bacteria types that can cause pneumonia include the bacteria that cause so-called atypical pneumonia, Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumonia. Haemophilus influenzae is a type of bacteria that can cause pneumonia.",1
168216,o_3830857,"Legionella pneumophila is the bacterial type that causes the pneumonia known as Legionnaires' disease. Other bacteria types that can cause pneumonia include the bacteria that cause so-called atypical pneumonia, Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumonia. The most common cause of viral pneumonia in adults is the influenza virus.",2
1133167,o_5674622,"The weather Montego Bay Jamaica you asked, oh it’s fabulous, simply fabulous. Whether it’s Montego Bay Jamaica weather, Falmouth Jamaica weather, Ocho Rios Jamaica weather, Negril Jamaica weather, Runaway Bay Jamaica Weather or any other parts of the island, Jamaica weather is sunshine blue skies.",0
1133167,o_8160230,The January weather averages shown below are for Montego Bay. 1  Jamaica weather overview. 2  Jamaica monthly weather. 3  Jamaica 5-day forecast. 4  Jamaica holidays. 5  Jamaica destinations. 6  Jamaica map. 7  More destinations.,1
1133167,o_8255705,"Jamaica Weather: Month-by-Month. Here's a month-by-month idea of weather in Jamaica. The weather is perfect most of the year. This month-by-month Jamaica weather forecast will help you in deciding when is the best time to visit Jamaica. December Weather in Jamaica: It's high season, and a cool time of year. January Weather: Middle of the high season.",2
527433,o_8617271,"There are three major types of dysarthria in cerebral palsy: spastic, dyskinetic (athetosis) and ataxic. Speech impairments in spastic dysarthria involves four major abnormalities of voluntary movement: spasticity, weakness, limited range of motion and slowness of movement.",0
527433,o_6186391,"Types of Cerebral Palsy. Generally speaking, there are four types of cerebral palsy, which are classified by location of brain damage, the type of movement impairment, and other symptoms the condition causes. These four main types of cerebral palsy, which are discussed in detail below include:1  Spastic cerebral palsy.2  Athetoid cerebral palsy. 3  Ataxic cerebral palsy.enerally speaking, there are four types of cerebral palsy, which are classified by location of brain damage, the type of movement impairment, and other symptoms the condition causes. These four main types of cerebral palsy, which are discussed in detail below include: 1  Spastic cerebral palsy. 2  Athetoid cerebral palsy. 3  Ataxic cerebral palsy.",1
527433,o_269423,"Types of Cerebral Palsy. Generally speaking, there are four types of cerebral palsy, which are classified by location of brain damage, the type of movement impairment, and other symptoms the condition causes. These four main types of cerebral palsy, which are discussed in detail below include:1  Spastic cerebral palsy.ypes of Cerebral Palsy. Generally speaking, there are four types of cerebral palsy, which are classified by location of brain damage, the type of movement impairment, and other symptoms the condition causes. These four main types of cerebral palsy, which are discussed in detail below include:",2
1037798,o_8760867,"Robert Gray. A surprise came on the Democratic side in the race for Mississippi Governor. Robert Gray, a retired firefighter and truck driver, is the democratic nominee who admitted to the Associated Press that he didn't even vote in Tuesday's election.",0
1037798,o_8760864,"Team Mississippi Robert Gray For Governor Offical Page. Robert Gray never would have made it without God. If God is for you, who can be against you. God does the impossible. God uses the least among us to do his will. Robert is the head and not the tail, he's at the top and never at the bottom. He is bless coming in and bless coming out. All praises and thanks to God.",1
1037798,o_3641634,"Captain Robert Gray, May 1972. Discovering the Columbia River, May 1792 ... The Columbia River was given the name it bears today in May 1792, by American Captain Robert Gray, after his ship, the Columbia Rediviva. On May 11, 1792, Captain Robert Gray entered the mouth of the Columbia River. He explored 20 miles up the river as far as Grays Bay, a bay named for him later in the year by Lieutenant William Broughton of the Vancouver Expedition, who crossed the bar and traveled 100 miles up the Columbia.",2
915593,o_6923052,"What is a Sous Vide Cooker? We said it before and we’ll say it again: a sous vide machine is a better way to cook. When you use a sous vide at home, you’ll be cooking with water. It’s not at all what you’re thinking. Your steak and chicken – any food really – will be placed in BPA-free, sturdy plastic bags and cooked.",0
915593,o_82113,"Often, however, when you prepare food sous vide you’re packaging the food in plastic. (Often but not always. Eggs come in their own wrappers—their shells—and we can sous vide foods that set as they cook, like custard, yogurt, and chicken liver pâté, in glass canning jars.)",1
915593,o_8178998,"Sous-vide cooking involves cooking food in sealed plastic bags immersed in hot water for long periods of time. Depending on the cut, type, and thickness of the meat or the type of food in question, cooking sous-vide for several hours is not out of the ordinary. The key is managing the temperature of the water so it stays hot enough to cook the food thoroughly and evenly, and long enough to kill any food-borne pathogens that may be in the bag along with the food.",2
264014,o_6337909,"Fleas have a complex, 4-stage life cycle. Control of fleas on your pet and in your home must address all stages of this life cycle to stop the problem of flea infestation. Please read the flea life cycle FAQ for more information about flea biology.",0
264014,o_96854,"2) The fleas life cycle discussed - the flea life cycle diagram explained in full. 2a) Fleas life cycle 1 - The adult flea lays her eggs on the host animal. 2b) Fleas life cycle 2 - The egg falls off the animal's skin and into the local environment of the host animal. 2c) Fleas life cycle 3 - The flea egg hatches, releasing a first stage (stage 1) flea larva.",1
264014,o_3666584,"Flea Life Cycle. My Page on Fleas on cats has a more complete article on the life cycle of fleas and photos of fleas, and larvae. The short version of the flea life cycle is this: A flea has a blood meal and lays eggs on the cat. The eggs dry and fall off the cat onto spots where the cat hangs out.",2
1121402,o_8052622,Farmers can reduce soil erosion by___. A. increasing irrigation.. . B. contour plowing.. . C. grazing cattle on the land.. . D. plowing up roots. - 1851268,0
1121402,o_5189913,Contour plowing. Contour plowing or contour farming or Contour bunding is the farming practice of plowing and/or planting across a slope following its elevation contour lines. These contour lines create a water break which reduces the formation of rills and gullies during times of heavy water run-off; which is a major cause of soil erosion.,1
1121402,o_8052624,"In contour plowing, the land is plowed across the slopes and along the contour lines. This will also reduce soil erosion and make rainwater infiltrate into the soil more than on land plowed along the slope. Terraces are more effective than contour plowing alone in minimizing soil erosion and facilitating infiltration f rainfall into the soil.",2
962179,o_8689054,Salvation Army Locations & Hours near San Francisco. 1  Salvation Army - San Francisco. 2  Salvation Army - San Francisco. 3  Salvation Army - San Francisco. 4  Salvation Army - San Francisco. 5  Salvation Army - Daly City. 6  Salvation Army - Daly City. 7  Salvation Army - Daly City. 8  Salvation Army - South San Francisco. 9  Salvation Army - Colma.,0
962179,o_4511501,"On Retail: Salvation Army to close Madison thrift store. The Salvation Army Thrift Store, 4636 E. Washington Ave., will close at the end of February. Officials with the Salvation Army say they are looking for a less-expensive Madison location but have not found a suitable site.",1
962179,o_4511504,"On Retail: Salvation Army to close Madison thrift store. Buy Now. The Salvation Army Thrift Store, 4636 E. Washington Ave., will close at the end of February. Officials with the Salvation Army say they are looking for a less-expensive Madison location but have not found a suitable site.",2
1117099,o_8093931,"Two types of continental margins exist: active margins and passive margins. Active margins form primarily along the boundaries of plates that are actively converging. Passive margins currently exist in the middle of plates, not at plate boundaries.",0
1117099,o_1798612,"• Pacific = Active Margin geologic activity 11 The ocean floor can be classified as (a) Continental Margins –the submerged outer edge of a continent (b) Ocean Basin – the deep seafloor beyond the continental margin There are two types of continental Margins (a)passive or trailing margins: margin of continent that moves away from spreading center – Atlantic-style margins (also Artic Ocean, Antarctica and Indian Ocean). Very little volcanic or earthquake activity is associated with passive margins. (b) active or leading margins: plate boundary located along a continental margin – ocean trenches where there is subduction of oceanic lithosphere – narrow, steep, with volcanic mountains (West Coast of the Americas). Active margins are the site of volcanic and earthquake activity. 12 Continental Margins",1
1117099,o_4458512,"Cases of continental margins that are on or very close to a plate margin. Most continental margins around the Pacific are active. Key characteristics of active continental margins include the activity of volcanoes and earthquakes, narrow continental shelves, large coastal mountains, and much more.",2
148538,o_985491,"RN vs BSN: Whats the Difference? The RN vs BSN is a common debate. Both allow you to work as a registered nurse, but what is the benefit and difference of getting a BSN versus RN. RN (registered nurse) is a qualification or a job title. You become an RN by taking and passing the National Council Licensure Examination for Registered Nurses (NCLEX-RN). That’s the only way to become a registered nurse in the US.",0
148538,o_4264129,"0 I am wondering what the differences in RN and BSN are. I am in the process of deciding to get my RN or go all out and get my BSN. Is there a big difference in pay for BSN, or do (small towns) just want nurses, not depending on length of school?! Thanks so much!",1
148538,o_5077707,Help me out here pls. What is the difference between a BSN and an RN. Don't you go through the four year program to get the BSN/RN. I've noticed that people put a stress on the BSN-route -RN -attained degree. I'm truly confused. Thanks.,2
