qid,docno,text,rank
156493,m_8182161,"A: While goldfish can grow up to 18 inches in length and can weigh more than six pounds, most never attain such large size. Goldfish occur in a number of different varieties, and some grow larger than others. The most common goldfish in state fairs and pet shops is the “common goldfish.”",0
156493,m_6139386,"A: The conditions goldfish are kept in plus their diet determine how large they will grow. I have seen goldfish grow ridiculously large in very small containers when their water was changed frequently. Goldfish will not grow if water conditions are poor. Fancy goldfish don’t grow as large as Common goldfish. A good size would be around 5 inches body length for most fancy varieties, 8 inches for Comets and 12 inches for Common Goldfish. These sizes are usually only attained by pond grown fish.",1
156493,m_3288600,"A goldfish will grow to the depth of the water it is kept in. If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die. The fancy goldfish do not get as large as the common/comet/shubunkin/feeder goldfish.",2
1110199,m_3838645,"Also like WiFi, Bluetooth is “fairly” secure. Unlike WiFi, tethering via Bluetooth isn’t all that common. Sure, people do it, but it’s a little more involved to set up than WiFi, and a little more involved every time you want to use Bluetooth tethering. If power consumption is a concern, Bluetooth is probably the way to go, if you’re willing to configure it.",0
1110199,m_554521,,1
1110199,m_398442,,2
1063750,m_4788295,"Best Answer: You need to check your time line-USA entered WW1 in April 1917,some months before the Bolshevik Revolution in Russia that took them out of WW1.USA and Russia were both participants in WW1 for several months in 1917.The situation in Russia had nothing to do with US entry into WW1.f Russia hasn't pulled out of ww1, we(America) wouldn't had entered a war that didnt even touch our soil and possibly hundreds of thousands of Americans wouldn't had lost their lives. The allies needed the manpower but Russia couldn't wait for another year to start their revolution. Add your answer.",0
1063750,m_2997653,Not only that they wanted to get some what of a reputation back because they were not liked by many countries Italy and Japan did not lose land in WW1.,1
1063750,m_4337527,The U.S entered WW1 for several reasons. The U.S entered for two main reasons: one was that the Germans had declared unlimited German submarine warfare and the Zimmermann note.,2
130510,m_1494936,"A declaratory judgment, sometimes called declaratory relief, is conclusive and legally binding as to the present and future rights of the parties involved. The parties involved in a declaratory judgment may not later seek another court resolution of the same legal issue unless they appeal the judgment.",0
130510,m_7125239,2 Declaratory judgment: a declaratory judgment can be made by the courts regardless of whether a remedy is being claimed.,1
130510,m_799647,"Declaratory judgments are judgment of a court in a civil case that declares the rights, duties, or obligations of each party in a dispute.",2
489204,m_1479542,"Lower right abdominal pain may be due to some of the same causes discussed under upper right abdominal pain. With the lower abdominal regions, the continuation with the pelvic cavity means that pathologies of the pelvic organs or structures may also be a cause of pain.",0
489204,m_1051498,"Lower right abdominal pain may be due to some of the same causes discussed under upper right abdominal pain. With the lower abdominal regions, the continuation with the pelvic cavity means that pathologies of the pelvic organs or structures may also be a cause of pain.",1
489204,m_1950269,"Chronic pelvic pain is pain in the area below your bellybutton and between your hips that lasts six months or longer. Chronic pelvic pain can have multiple causes. It can be a symptom of another disease, or it can be a condition in its own right. If your chronic pelvic pain appears to be caused by another medical problem, treating that problem may be enough to eliminate your pain.",2
573724,m_2417985,Social determinants. 1 Commission on Social Determinants of Health. 2 Socioeconomic Determinants of Health.,0
573724,m_394136,Social determinants of health. The social determinants of health (SDOH) are the economic and social conditions and their distribution among the population that influence individual and group differences in health status.,1
573724,m_394139,"Social determinants of health - Commonly accepted determinants. 1 There is no single definition of the social determinants of health, but there are commonalities, and many governmental and non-governmental organizations recognize that there are social factors which impact the health of individuals.",2
168216,m_3344828,"LEGIONELLA PNEUMOPHILA. Like C. pneumoniae, Legionella species are intracellular organisms. Legionella pneumophila is the most pathogenic species, and several serotypes have been identified. Serotype 1 has been associated with most reported human cases of pneumonia caused by L. pneumonphila.11.",0
168216,m_1381477,"Legionella pneumophila is the bacterial type that causes the pneumonia known as Legionnaires' disease. Other bacteria types that can cause pneumonia include the bacteria that cause so-called atypical pneumonia, Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumonia. Haemophilus influenzae is a type of bacteria that can cause pneumonia.",1
168216,m_3830857,Legionella pneumophila is the bacterial type that causes the pneumonia known as Legionnaires' disease. The most common cause of viral pneumonia in adults is the influenza virus.,2
1133167,m_5674622,"Whether it’s Montego Bay Jamaica weather, Falmouth Jamaica weather, Ocho Rios Jamaica weather, Negril Jamaica weather, Runaway Bay Jamaica Weather or any other parts of the island, Jamaica weather is sunshine blue skies.",0
1133167,m_8160230,1 Jamaica weather overview.,1
1133167,m_8255705,"Jamaica Weather: Month-by-Month. Here's a month-by-month idea of weather in Jamaica. The weather is perfect most of the year. December Weather in Jamaica: It's high season, and a cool time of year. January Weather: Middle of the high season.",2
527433,m_8617271,"There are three major types of dysarthria in cerebral palsy: spastic, dyskinetic (athetosis) and ataxic. Speech impairments in spastic dysarthria involves four major abnormalities of voluntary movement: spasticity, weakness, limited range of motion and slowness of movement.",0
527433,m_6186391,"These four main types of cerebral palsy, which are discussed in detail below include:1 Spastic cerebral palsy.2 Athetoid cerebral palsy. 3 Ataxic cerebral palsy.enerally speaking, there are four types of cerebral palsy, which are classified by location of brain damage, the type of movement impairment, and other symptoms the condition causes. These four main types of cerebral palsy, which are discussed in detail below include: 1 Spastic cerebral palsy. 2 Athetoid cerebral palsy. 3 Ataxic cerebral palsy.",1
527433,m_269423,"Generally speaking, there are four types of cerebral palsy, which are classified by location of brain damage, the type of movement impairment, and other symptoms the condition causes. These four main types of cerebral palsy, which are discussed in detail below include:1 Spastic cerebral palsy.ypes of Cerebral Palsy. Generally speaking, there are four types of cerebral palsy, which are classified by location of brain damage, the type of movement impairment, and other symptoms the condition causes.",2
1037798,m_8760867,"Robert Gray, a retired firefighter and truck driver, is the democratic nominee who admitted to the Associated Press that he didn't even vote in Tuesday's election.",0
1037798,m_8760864,"Team Mississippi Robert Gray For Governor Offical Page. Robert Gray never would have made it without God. If God is for you, who can be against you. God does the impossible. God uses the least among us to do his will. Robert is the head and not the tail, he's at the top and never at the bottom. He is bless coming in and bless coming out. All praises and thanks to God.",1
1037798,m_3641634,"On May 11, 1792, Captain Robert Gray entered the mouth of the Columbia River. He explored 20 miles up the river as far as Grays Bay, a bay named for him later in the year by Lieutenant William Broughton of the Vancouver Expedition, who crossed the bar and traveled 100 miles up the Columbia.",2
915593,m_6923052,"We said it before and we’ll say it again: a sous vide machine is a better way to cook. When you use a sous vide at home, you’ll be cooking with water. It’s not at all what you’re thinking. Your steak and chicken – any food really – will be placed in BPA-free, sturdy plastic bags and cooked.",0
915593,m_82113,"Often, however, when you prepare food sous vide you’re packaging the food in plastic. (Often but not always. Eggs come in their own wrappers—their shells—and we can sous vide foods that set as they cook, like custard, yogurt, and chicken liver pâté, in glass canning jars.)",1
915593,m_8178998,"Sous-vide cooking involves cooking food in sealed plastic bags immersed in hot water for long periods of time. Depending on the cut, type, and thickness of the meat or the type of food in question, cooking sous-vide for several hours is not out of the ordinary. The key is managing the temperature of the water so it stays hot enough to cook the food thoroughly and evenly, and long enough to kill any food-borne pathogens that may be in the bag along with the food.",2
264014,m_6337909,"Fleas have a complex, 4-stage life cycle.",0
264014,m_96854,"2c) Fleas life cycle 3 - The flea egg hatches, releasing a first stage (stage 1) flea larva.",1
264014,m_3666584,Flea Life Cycle.,2
1121402,m_8052622,Farmers can reduce soil erosion by___. B. contour plowing.. . C. grazing cattle on the land.. . D. plowing up roots. - 1851268,0
1121402,m_5189913,Contour plowing. Contour plowing or contour farming or Contour bunding is the farming practice of plowing and/or planting across a slope following its elevation contour lines. These contour lines create a water break which reduces the formation of rills and gullies during times of heavy water run-off; which is a major cause of soil erosion.,1
1121402,m_8052624,"In contour plowing, the land is plowed across the slopes and along the contour lines. This will also reduce soil erosion and make rainwater infiltrate into the soil more than on land plowed along the slope. Terraces are more effective than contour plowing alone in minimizing soil erosion and facilitating infiltration f rainfall into the soil.",2
962179,m_8689054,9 Salvation Army - Colma.,0
962179,m_4511501,Officials with the Salvation Army say they are looking for a less-expensive Madison location but have not found a suitable site.,1
962179,m_4511504,Officials with the Salvation Army say they are looking for a less-expensive Madison location but have not found a suitable site.,2
1117099,m_8093931,"Active margins form primarily along the boundaries of plates that are actively converging. Passive margins currently exist in the middle of plates, not at plate boundaries.",0
1117099,m_1798612,Active margins are the site of volcanic and earthquake activity. 12 Continental Margins,1
1117099,m_4458512,"Cases of continental margins that are on or very close to a plate margin. Most continental margins around the Pacific are active. Key characteristics of active continental margins include the activity of volcanoes and earthquakes, narrow continental shelves, large coastal mountains, and much more.",2
148538,m_985491,"RN vs BSN: Whats the Difference? Both allow you to work as a registered nurse, but what is the benefit and difference of getting a BSN versus RN. RN (registered nurse) is a qualification or a job title. You become an RN by taking and passing the National Council Licensure Examination for Registered Nurses (NCLEX-RN). That’s the only way to become a registered nurse in the US.",0
148538,m_4264129,0 I am wondering what the differences in RN and BSN are. I am in the process of deciding to get my RN or go all out and get my BSN.,1
148538,m_5077707,What is the difference between a BSN and an RN. I've noticed that people put a stress on the BSN-route -RN -attained degree. I'm truly confused. Thanks.,2
451602,m_2176453,"For 363 of the selected claims, Medicare payments to hospitals were incorrect. For example, for one beneficiary, the documentation (e.g., time log for the mechanical. ventilation) showed that the beneficiary had received 73 hours of mechanical. ventilation.",0
451602,m_2176450,"For 14 of the 377 selected claims, Medicare payments to hospitals were correct; the beneficiaries. For example, for one beneficiary, the documentation (e.g., time log for the mechanical. ventilation) showed that the beneficiary had received 73 hours of mechanical. ventilation.",1
451602,m_5179251,Medical Definition of Mechanical ventilation. Mechanical ventilation: Use of a machine called a ventilator or respirator to improve the exchange of air between the lungs and the atmosphere. Last Editorial Review: 5/13/2016.,2
359349,m_576629,The midsegment of a trapezoid has two special properties: 1 The midsegment of a trapezoid is parallel to each base. 2 The length of the midsegment of a trapezoid is equal to half the sum of the lengths of its bases.,0
359349,m_68649,"The midsegment of a trapezoid is referred to as the median or the midline. The length of the midsegment is calculated by finding the average length of each of the parallel sides. The formula for this length is the sum of the length of side A plus the length of side B, divided by two. The midsegment is also used to calculate the area of a trapezoid. Learn more about Shapes.",1
359349,m_68653,The midsegment of a trapezoid is the segment formed by connecting the midpoints of the two legs of a trapezoid.,2
1115776,m_8106324,Be the first to see new Aml Surveillance Analyst jobs My email: Also get an email with jobs recommended just for me Anti Money Laundering Analyst salaries in United States,0
1115776,m_8106323,"NEXT Financial Surveillance Analyst: 1 NEXT Financial Surveillance Analyst salaries $54,259 Philadelphia Stock Exchange Surveillance Analyst: 1 Philadelphia Stock Exchange Surveillance Analyst salaries",1
1115776,m_4314171,New Aml Analyst jobs added daily.,2
1112341,m_8139256,"A n important thing in everyday life is SANUK. Thai people love to have fun together. SANUK can represent many things : eat together, to be with friends and chat, to go out with friends. For Thai people SANUK happens with several persons. When coming back from business, Thai people often ask was it fun ?",0
1112341,m_8139255,"An important thing in everyday life is SANUK. Thai people love to have fun together. SANUK can represent many things : eat together, to be with friends and chat, to go out with friends. For Thai people SANUK happens with several persons.",1
1112341,m_2096429,,2
131843,m_8305152,"Definition of SIGMET. plural. SIGMETs. also. sigmets. : a notice of significant hazardous weather conditions (such as extreme turbulence, icing, or poor visibility) in a large area that is provided to the pilot of an aircraft before takeoff — compare airmet.",0
131843,m_985994,"sigmet SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft.",1
131843,m_8305153,"SIGMET, or Significant Meteorological Information, is a weather advisory that contains meteorological information concerning the safety of all aircraft.",2
104861,m_459676,We pour a lot of 3000 psi. concrete for interior concrete floors and 4000 psi concrete for exterior concrete. The concrete cost per yard of concrete is $92.00 for 3000 3/4 psi concrete and $100.00 for 4000 3/4 psi concrete.,0
104861,m_5703401,"Day's Concrete Floors, Inc is the name of my company. We pour a lot of 3000 psi. concrete for interior concrete floors and 4000 psi concrete for exterior concrete. The concrete cost per yard of concrete is $92.00 for 3000 3/4 psi concrete and $100.00 for 4000 3/4 psi concrete.",1
104861,m_8260035,"Stained Concrete Pricing - Interior Ver. 4.3. Thank you for visiting our Concrete Staining Cost page, we will go over some of the options that are available for concrete staining for interior floors and the pricing for them. First, let's make sure you are using the right estimator for your project, here's a quick primer on concrete staining.",2
